"","Date","month","day_of_week.x","weekday_weekend","dew_point","wind_speed","temperature","hdd","cdd","demand_forecast","demand","net_generation","total_interchange","forecast_error"
"1",2015-07-01,"2015-07",4,0,18.5916666666667,1.15833333333333,26.2875,7.95416666666667,0,5569.4347826087,5417.82608695652,4855,1971.91304347826,151.608695652174
"2",2015-07-02,"2015-07",5,0,19.425,1.31666666666667,26.1291666666667,7.79583333333333,0,4161.375,4334.41666666667,3746.91666666667,3514.79166666667,-173.041666666667
"3",2015-07-03,"2015-07",6,1,20.8583333333333,1.5,23.9666666666667,5.63333333333333,0,5306.625,4435.875,5120.45833333333,3604.83333333333,870.75
"4",2015-07-04,"2015-07",7,1,19.2791666666667,1.92916666666667,25.9416666666667,7.60833333333333,0,5488.25,5463.70833333333,6417.54166666667,2590,24.541666666667
"5",2015-07-05,"2015-07",1,0,19.9541666666667,1.3375,26.2083333333333,7.875,0,5881.66666666667,5334.45833333333,5437.29166666667,3216.20833333333,547.208333333334
"6",2015-07-06,"2015-07",2,0,18.9916666666667,0.929166666666667,27.1,8.76666666666667,0,5555.625,5719.875,6428.875,2601.04166666667,-164.25
"7",2015-07-07,"2015-07",3,0,18.3166666666667,0.691666666666667,28.625,10.2916666666667,0,5102.54166666667,5635.25,6489.91666666667,2849.875,-532.708333333333
"8",2015-07-08,"2015-07",4,0,20.5083333333333,0.958333333333333,28.7791666666667,10.4458333333333,0,4749.625,4539.125,5593.41666666667,2407.75,210.5
"9",2015-07-09,"2015-07",5,0,18.6791666666667,1.13333333333333,30.2,11.8666666666667,0,4886.625,4982.66666666667,7235.29166666667,2154.33333333333,-96.041666666667
"10",2015-07-10,"2015-07",6,1,16.95,0.95,30.5708333333333,12.2375,0,4740.95833333333,5007.04166666667,6678.83333333333,1909.125,-266.083333333334
"11",2015-07-11,"2015-07",7,1,19.1166666666667,1.05,29.2666666666667,10.9333333333333,0,4279.45833333333,4792.375,6917.66666666667,2960.25,-512.916666666667
"12",2015-07-12,"2015-07",1,0,18.6833333333333,0.645833333333333,28.3916666666667,10.0583333333333,0,5337.29166666667,5320,6287.04166666667,2801.625,17.291666666667
"13",2015-07-13,"2015-07",2,0,21.6041666666667,1.02916666666667,27.9458333333333,9.6125,0,4757.33333333333,4427.25,5846.41666666667,1771.66666666667,330.083333333333
"14",2015-07-14,"2015-07",3,0,21.275,1.57916666666667,27.6125,9.27916666666667,0,4669.70833333333,3356.04166666667,4657.5,2413.33333333333,1313.66666666667
"15",2015-07-15,"2015-07",4,0,19.4125,1.20833333333333,28.35,10.0166666666667,0,4322.70833333333,4060.58333333333,4793.91666666667,3336.16666666667,262.125
